molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1945050,COc1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,66.0,active,402.49800000000005,4.666300000000003,1.0,6.0,7.180456064458132
CHEMBL1945051,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(Cl)c(c2)C1,77.0,active,406.9170000000001,5.311100000000004,1.0,5.0,7.113509274827518
CHEMBL1945052,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OC(F)(F)F)c(c2)C1,160.0,active,456.46800000000013,5.556300000000004,1.0,6.0,6.795880017344075
CHEMBL1945170,CN(C)CCCc1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,28.0,active,438.0000000000001,5.330200000000004,2.0,5.0,7.552841968657781
CHEMBL1945171,Cc1ccc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2,720.0,active,452.02700000000016,5.638620000000004,2.0,5.0,6.142667503568732
CHEMBL1945172,CN(C)CCCc1ccc(Cl)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,970.0,active,472.44500000000016,5.983600000000004,2.0,5.0,6.013228265733755
CHEMBL1945173,COc1ccc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2,590.0,active,468.0260000000002,5.338800000000004,2.0,6.0,6.229147988357856
CHEMBL1945559,Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O,10000.0,inactive,363.24800000000016,2.9578800000000003,2.0,4.0,5.0
CHEMBL1945565,COCCOc1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,25.0,active,446.55100000000016,4.682900000000004,1.0,7.0,7.6020599913279625
CHEMBL1945566,CCS(=O)(=O)c1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,440.0,active,464.5910000000002,4.451300000000003,1.0,7.0,6.356547323513812
CHEMBL1945567,CCS(=O)(=O)CCOc1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,93.0,active,508.6440000000003,4.471200000000003,1.0,8.0,7.031517051446065
CHEMBL1945568,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCC(=O)N3CCCC3)c(c2)C1,150.0,active,499.6150000000004,4.658900000000004,1.0,7.0,6.823908740944319
CHEMBL1945569,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(N3CCOCC3)c(c2)C1,71.0,active,457.5780000000003,4.4943000000000035,1.0,7.0,7.1487416512809245
CHEMBL1945703,CCN(CC)CCOc1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,30.0,active,487.6480000000002,5.378300000000005,1.0,7.0,7.522878745280337
CHEMBL1945704,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,35.0,active,485.6320000000004,5.132300000000004,1.0,7.0,7.455931955649724
CHEMBL1945705,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCOCC3)c(c2)C1,40.0,active,501.6310000000004,4.368700000000003,1.0,8.0,7.3979400086720375
CHEMBL1945706,CN1CCN(CCOc2ccc3cc2CN(C)C/C=C/CCOc2cccc(c2)-c2ccnc(n2)N3)CC1,250.0,active,514.6740000000002,4.283900000000004,1.0,8.0,6.6020599913279625
CHEMBL1945707,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCCCC3)c(c2)C1,45.0,active,499.65900000000045,5.5224000000000055,1.0,7.0,7.346787486224656
CHEMBL1945803,CN(C)CCCc1cncc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,95.0,active,438.98800000000017,4.725200000000003,2.0,6.0,7.022276394711152
CHEMBL1945804,Cc1ncc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2,730.0,active,453.0150000000002,5.0336200000000035,2.0,6.0,6.136677139879544
CHEMBL1945822,FC(F)(F)CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,110.0,active,553.6290000000002,6.064800000000006,1.0,7.0,6.958607314841775
CHEMBL1945823,N#CCN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,29.0,active,510.64200000000045,5.026080000000004,1.0,8.0,7.5376020021010435
CHEMBL1946004,COc1cc2cc(c1OCCN1CCCC1)CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,98.0,active,515.6580000000002,5.140900000000004,1.0,8.0,7.008773924307505
CHEMBL1946005,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(NC(=O)C(F)(F)F)c2)C1,23.0,active,483.49400000000014,5.158500000000004,2.0,6.0,7.638272163982407
CHEMBL1946006,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(N)cc(c2)C1,19.0,active,387.48700000000014,4.239900000000002,2.0,6.0,7.721246399047171
CHEMBL1946150,CCS(=O)(=O)CNc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)OCC/C=C/CN(C)C2,140.0,active,493.6330000000004,4.461800000000004,2.0,8.0,6.853871964321762
